문장	여성/가족	남성	성소수자	인종/국적	연령	지역	종교	기타 혐오	악플/욕설	clean
내가 너 패고 솔직히 내가 기습으로 때린 건 맞지만 이 새끼가 못 피했다	0	0	0	0	0	0	0	0	1	0
이번판 우리 너무 빨리 끝났는데 나 뭐 재미도 못 느꼈는데	0	0	0	0	0	0	0	0	1	0
아니 게임을 진짜 조까치 만들었네	0	0	0	0	0	0	0	0	1	0
아 움직이면 안돼	0	0	0	0	0	0	0	0	0	1
아니 아니 방법이 여기는 없는 것 같으니까 딴 데로 가야 될 것 같아요	0	0	0	0	0	0	0	0	0	1
아니 적는 사람이 있어서 기다려 기다려 침착해 침착해 기다려 재촉하지마	0	0	0	0	0	0	0	0	0	1
이렇게 쉬운걸 더 넘겨지는거 개빡스럽네 열쇠 얹어줬잖아	0	0	0	0	0	0	0	0	1	0
이런 게임은 한국인은 못 깨는 게임이라고 해요	0	0	0	0	0	0	0	0	0	1
점프를 내가 보기에는 니가 발목을 안잡으면 되는데	0	0	0	0	0	0	0	0	1	0
이번 생에서 꺼져줘	0	0	0	0	0	0	0	0	1	0
아니 이걸 왜 진짜 발견하지 못해서 저희의 세계선을 낭비하신 거예요	0	0	0	0	0	0	0	0	1	0
아 이 미친새끼 이거 위로 가야지	0	0	0	0	0	0	0	0	1	0
진짜 아니 진짜 아이씨 에이씨 내가 죽었으면 좋겠어	0	0	0	0	0	0	0	0	1	0
역시 힘이 쎄 우리 힘이 쎄 점프해서 밀리는것이 말이 아니야	0	0	0	0	0	0	0	0	0	1
어떤 새끼가 죽어줄까	0	0	0	0	0	0	0	0	1	0
아니 왜 자꾸 아니 이렇게 가면 된다니까 이렇게 가는 거잖아	0	0	0	0	0	0	0	0	0	1
아니 아아아아아아 야 죽여 다 죽여	0	0	0	0	0	0	0	0	1	0
아니 왜 밀어 멍청아 나 따라와	0	0	0	0	0	0	0	0	1	0
땅으로 냅다 갈겨버리네	0	0	0	0	0	0	0	0	1	0
아니 미친 아 제발 미친 사람들아 끌어댕겨	0	0	0	0	0	0	0	0	1	0
야 미친 드롭키 뭐야	0	0	0	0	0	0	0	0	1	0
제발 아 이거 답답해 죽겠네	0	0	0	0	0	0	0	0	1	0
아 햇갈려서 뒤졌네 제발요 헷갈려 죽겠어	0	0	0	0	0	0	0	0	1	0
아니 강아지 같이 들어야 된다니까 무겁다니까 같이 들어야 된다고	0	0	0	0	0	0	0	0	0	1
그래 그래 비키라고하면 좀 확실히 비켜줘야지	0	0	0	0	0	0	0	0	0	1
아니 미친새끼야	0	0	0	0	0	0	0	0	1	0
아니 한 번에 안 움직이는것이 아니라 빨리 가면 그러는거 같은데	0	0	0	0	0	0	0	0	0	1
아니 파란색 블럭이 왜 여기 와 있냐고 파란색 블럭 옮겨줘야 돼	0	0	0	0	0	0	0	0	0	1
다 붙지 말라고 아니 6번 새치기 하지 마세요	0	0	0	0	0	0	0	0	0	1
그 쓰레기가 아니라 해봐 해봐 해봐	0	0	0	0	0	0	0	0	0	1
아니 버리고 올라가봐	0	0	0	0	0	0	0	0	0	1
아 님들 이거 왼쪽으로 가는것이 맞습니다	0	0	0	0	0	0	0	0	0	1
아 나 이거 잘 못하는데	0	0	0	0	0	0	0	0	0	1
아이씨 야 침착하게	0	0	0	0	0	0	0	0	1	0
두 명이서 하는 협동 게임입니다	0	0	0	0	0	0	0	0	0	1
아 나 진짜 열받네 미치게 해 줘	0	0	0	0	0	0	0	0	1	0
계단 타고 그냥 올라가면 돼	0	0	0	0	0	0	0	0	0	1
아냐아냐 모를 수 있어 빡대가리면	0	0	0	0	0	0	0	0	1	0
아이고야 정말 화가나서 못하겠거든	0	0	0	0	0	0	0	0	1	0
여기서 점프해서 개쉬운거였다	0	0	0	0	0	0	0	0	0	1
아니 한 줄로 가야돼	0	0	0	0	0	0	0	0	0	1
아 제발 아니 나와봐	0	0	0	0	0	0	0	0	1	0
이건 주인공병이 아니라 제가 한번 해볼게요	0	0	0	0	0	0	0	0	0	1
야 잠깐 컨트롤을 해야 되네	0	0	0	0	0	0	0	0	0	1
아니 왜 혼자 막 출발해 누구야 미친 사람아	0	0	0	0	0	0	0	0	1	0
아니 D를 또 눌렀다고 저 새끼가 그럼 한 번 더 눌렀어야지	0	0	0	0	0	0	0	0	1	0
아니 거기서 움직일수가 없어	0	0	0	0	0	0	0	0	0	1
아니지 막아야되나봐 살좀빼봐	0	0	0	0	0	0	0	0	1	0
많이 먹으니까 뭘 먹었는지 기억도 못 할 수도 있어	0	0	0	0	0	0	0	0	0	1
어쩌면 나는 그 마음에 동감할지도	0	0	0	0	0	0	0	0	0	1
아 못 지나가 우리 지금 둘이 다 길막하고 있어	0	0	0	0	0	0	0	0	0	1
아니 뒤로 가야지 저거는 씨발 내 얘기는 왜 대답 안 해줘	0	0	0	0	0	0	0	0	1	0
아니 저 새끼는 점프 왜 하는거야	0	0	0	0	0	0	0	0	1	0
그래 나 진짜 애매해서 그래	0	0	0	0	0	0	0	0	0	1
진짜 들어와 임마 빨리	0	0	0	0	0	0	0	0	1	0
위에 사람 있으면 점프 못함	0	0	0	0	0	0	0	0	0	1
아 아래로 데리고 왔어야 됐네	0	0	0	0	0	0	0	0	0	1
씹년 오다가 죽는 거 아니겠지	0	0	0	0	0	0	0	0	1	0
아 꺼져 미친놈아 야 왜 내장 뺏어 저 미친놈봐	0	0	0	0	0	0	0	0	1	0
아우 답답해 잠깐만 이렇게 가면 된다니까	0	0	0	0	0	0	0	0	1	0
아니 근데 끝났으면 기폭 장치가 멈춰야 되는 거 아니야	0	0	0	0	0	0	0	0	0	1
정찰병 6명 있어야 돼	0	0	0	0	0	0	0	0	0	1
색깔 설정은 제가 했는데 구별이 안갈거라 상상을 못했네	0	0	0	0	0	0	0	0	0	1
앞에 영혼이 나가는거 같은데	0	0	0	0	0	0	0	0	0	1
아니 얘가 이리로 오게 만들어서 가둬야 되는 거 아닐까	0	0	0	0	0	0	0	0	0	1
쏘지말라고 미친새끼야	0	0	0	0	0	0	0	0	1	0
위에서부터 들어가야 될 것 같은데	0	0	0	0	0	0	0	0	0	1
여기 틈이 있어	0	0	0	0	0	0	0	0	0	1
이거는 나도 못 들어가고 치킨도 못 들어가게 해야 돼	0	0	0	0	0	0	0	0	0	1
짜증을 좀 더 빨리 말해 주시면 좋을 것 같아요	0	0	0	0	0	0	0	0	0	1
뒤에 사람을 못 구한다	0	0	0	0	0	0	0	0	0	1
온라인 플레이로 바로 가도록 하겠습니다	0	0	0	0	0	0	0	0	0	1
이 새끼 그냥 야 제발 우리	0	0	0	0	0	0	0	0	1	0
멈춰 멈춰 멈춰 제발 멈춰	0	0	0	0	0	0	0	0	0	1
아니 처맞으면서 무슨 소리 하시는 거예요	0	0	0	0	0	0	0	0	1	0
저 자식이 열쇠 쳐가지고 가놓고	0	0	0	0	0	0	0	0	1	0
제발 막 누르지 말고 그냥 한 번 누르고 기다려	0	0	0	0	0	0	0	0	0	1
아니 멀리서 점프해서 들어오면 되잖아	0	0	0	0	0	0	0	0	0	1
아니 그러니까 건드리면 어떻게 될지 상상을 좀 하라고	0	0	0	0	0	0	0	0	0	1
아 진짜 그것이 문제가 아니라 3명이 들어가야 된다고	0	0	0	0	0	0	0	0	0	1
꿀 발라놔가지고 지금 애들 아무것도 못하고 있습니다	0	0	0	0	0	0	0	0	0	1
아니 여기 중앙을 오른쪽에 세 명 쌓을 생각해야 돼	0	0	0	0	0	0	0	0	0	1
아니 협동을 해보자	0	0	0	0	0	0	0	0	0	1
어디서 화를 이 새끼가 빨리 나가	0	0	0	0	0	0	0	0	1	0
어우 진짜 답답해	0	0	0	0	0	0	0	0	1	0
야 프로처럼 해보자	0	0	0	0	0	0	0	0	0	1
여기서 아무도 내리지 않은 사람들은 카드를 못 먹어	0	0	0	0	0	0	0	0	0	1
나 이미 모니터에 구멍 나 있어 지금 야 뒤질래	0	0	0	0	0	0	0	0	1	0
인마 아니 어떻게 안 갔어	0	0	0	0	0	0	0	0	1	0
지금 미친 집중하고 있어	0	0	0	0	0	0	0	0	1	0
아 그만 미친년아아	0	0	0	0	0	0	0	0	1	0
야 잠깐만 이거 근데 우리도 못 가지 않나	0	0	0	0	0	0	0	0	0	1
심의 강도 빡세네	0	0	0	0	0	0	0	0	1	0
어이 아이 미친놈아 열어라	0	0	0	0	0	0	0	0	1	0
아이씨 아 이 새끼 아니 이 새끼 아 좀 꺼져봐	0	0	0	0	0	0	0	0	1	0
아니 근데 진짜 개족같이 생겼어	0	0	0	0	0	0	0	0	1	0
이거 아무도 못 가게 생겼다	0	0	0	0	0	0	0	0	0	1
어차피 아니 시발 제발 나를 좀 내려놔바	0	0	0	0	0	0	0	0	1	0
아니 이것이 어디서 이 어린 놈의 새끼가	0	0	0	0	0	0	0	0	1	0
이 새끼들 가만히 있어라 좀 제발 할 수 있다	0	0	0	0	0	0	0	0	1	0
아니 시작부터 좀 지랄 좀 하지 마 빨리 와	0	0	0	0	0	0	0	0	1	0
어차피 아 나 답답한 새끼가 그냥 방해꾼인가	0	0	0	0	0	0	0	0	1	0
와 개새끼라 뭐 생각을 못하나 그냥	0	0	0	0	0	0	0	0	1	0
멈추라고 손에 하자있나 진짜	0	0	0	0	0	0	0	0	1	0
아니 나는 보라색이 없어야 점프할 수 있어 재지마라고	0	0	0	0	0	0	0	0	1	0
뒤에가 못 움직여 아니야 앞에 움직여도 돼	0	0	0	0	0	0	0	0	0	1
미친 콩콩 새끼 나 이거 천천히 가자	0	0	0	0	0	0	0	0	1	0
제발 아 내가 왼쪽으로 가면 안되겠다	0	0	0	0	0	0	0	0	0	1
나오지마 미친 25분만에 깼어	0	0	0	0	0	0	0	0	1	0
아니 야 뭐해	0	0	0	0	0	0	0	0	0	1
아니 어떻게 하면 그렇게 못할 수가 있어	0	0	0	0	0	0	0	0	1	0
저거 붙잡고 날아갈 수 있는 거 아니었어	0	0	0	0	0	0	0	0	0	1
아 싸발 개 빡치네 어디로 떨어지는 거야	0	0	0	0	0	0	0	0	1	0
야 개똥싸놔서 이거 못해	0	0	0	0	0	0	0	0	1	0
아니 깜빡거리면 안돼	0	0	0	0	0	0	0	0	0	1
왜 자꾸 바로 밟는 거야	0	0	0	0	0	0	0	0	0	1
아니 여기 위에 올라갔다가 점프해봐 여기	0	0	0	0	0	0	0	0	0	1
아니 비켜봐	0	0	0	0	0	0	0	0	0	1
아니 잘하는 사람들이 하니까 재밌다 이거	0	0	0	0	0	0	0	0	0	1
아 나 근데 나 진짜 하기 싫어	0	0	0	0	0	0	0	0	1	0
아니 점프를 제자리에서 해야 되지 않을까	0	0	0	0	0	0	0	0	0	1
아니 서로가 발판이 되는 거지	0	0	0	0	0	0	0	0	0	1
자 애기만 지나갈수 있습니다	0	0	0	0	0	0	0	0	0	1
아니 씨발 아래있는 새끼들 아 모르겠다	0	0	0	0	0	0	0	0	1	0
아니 왜 생각을 안 하면서 게임하냐고	0	0	0	0	0	0	0	0	1	0
기술 조합이 이상해	0	0	0	0	0	0	0	0	1	0
실수로 누르지 마라	0	0	0	0	0	0	0	0	0	1
손가락 썩었나	0	0	0	0	0	0	0	0	1	0
아니 니는 말을 귓등으로도 안듣냐	0	0	0	0	0	0	0	0	1	0
이거는 솔직히 장난이 아니라 실력이잖아	0	0	0	0	0	0	0	0	0	1
야 너 움직여	0	0	0	0	0	0	0	0	0	1
그냥 나보고 괴물이라고 그런 거 아니야	0	0	0	0	0	0	0	0	0	1
아니 6번이 맨 위로 올라가게 해보세요	0	0	0	0	0	0	0	0	0	1
제발 제발 제발 저 새끼만 아니면 돼	0	0	0	0	0	0	0	0	1	0
잠깐 저거 못 먹었어	0	0	0	0	0	0	0	0	0	1
너 개딸피냐	0	0	0	0	0	0	0	0	1	0
아니 이 새끼 내가 어딜 가든 따돌렸다	0	0	0	0	0	0	0	0	1	0
아 얘 틀딱이네	0	0	0	0	0	0	0	0	1	0
아니 저 새끼 나보고 웃고있어	0	0	0	0	0	0	0	0	1	0
근데 이거 한 번 박으면 못 빼나 보다	0	0	0	0	0	0	0	0	0	1
아 진짜 띨띠리하고 같이 게임 못하겠네	0	0	0	0	0	0	0	0	1	0
아니 야 일단 야 아니 비켜봐	0	0	0	0	0	0	0	0	0	1
아 누우라고 이 새끼야	0	0	0	0	0	0	0	0	1	0
아니 이거 다 밟아야되요 열쇠 주세요	0	0	0	0	0	0	0	0	0	1
아우 잠깐만 아니 나는 잘 하고 있어	0	0	0	0	0	0	0	0	0	1
애기야 여기도 못 올라오는 거 아니지	0	0	0	0	0	0	0	0	0	1
아니 그냥 점프해서 닿으면 어떻게 돼	0	0	0	0	0	0	0	0	0	1
잠깐만 이거 키는 못바꾸나봐요	0	0	0	0	0	0	0	0	0	1
빨리 나가자	0	0	0	0	0	0	0	0	0	1
이 정도는 뭐 지금 그냥 장난 아니지	0	0	0	0	0	0	0	0	0	1
아 벽에 붙어있는데 왜 못 쏴	0	0	0	0	0	0	0	0	0	1
아니 아이씨 아 뭐야	0	0	0	0	0	0	0	0	1	0
나 이제 8인 협동 안 할래	0	0	0	0	0	0	0	0	1	0
그럼 가운데로 딱 내려갈 거 아니야	0	0	0	0	0	0	0	0	0	1
아니야 안 큰일 났어	0	0	0	0	0	0	0	0	0	1
아니 나도 잠깐 망설여져서 그랬어요	0	0	0	0	0	0	0	0	0	1
아니 바로 반응하기가 힘들어	0	0	0	0	0	0	0	0	0	1
아니 게임을 왜 이렇게 못해 얘들아	0	0	0	0	0	0	0	0	1	0
누나가 머리로 막아봐	0	0	0	0	0	0	0	0	0	1
이새끼 만나면 뼈때려야겠다	0	0	0	0	0	0	0	0	1	0
아니 근데 이것이 제일 어려워	0	0	0	0	0	0	0	0	0	1
빡대가리야 스페이스를 길게 눌러	0	0	0	0	0	0	0	0	1	0
어떤 개새끼 못 배워 처먹은 새끼가	0	0	0	0	0	0	0	0	1	0
여러분들 제가 답답한 척 안 할게요	0	0	0	0	0	0	0	0	0	1
나가면 돼 개꿀 빨았다 개꿀 빨았어	0	0	0	0	0	0	0	0	0	1
어디로 떨어졌어	0	0	0	0	0	0	0	0	0	1
아니 근데 왜 이렇게 한심하지	0	0	0	0	0	0	0	0	1	0
아니 아까 우리 어떻게 통과한 거야	0	0	0	0	0	0	0	0	0	1
앞에서 아니 저 사람들이 제일 못해	0	0	0	0	0	0	0	0	1	0
왜 저렇게 다 나가지고 저렇게 됐어	0	0	0	0	0	0	0	0	0	1
아니 이거를 아래에다 내리면 되잖아	0	0	0	0	0	0	0	0	0	1
제발 가만히 좀 침착해	0	0	0	0	0	0	0	0	0	1
아니요 아래로 너무 내려가면 안 돼	0	0	0	0	0	0	0	0	0	1
이 돌빡이는 계속 돌빡이라고요	0	0	0	0	0	0	0	0	1	0
아니 이러면 안 되지 않을까	0	0	0	0	0	0	0	0	0	1
이거 나쁜년이 잘못된 거지	0	0	0	0	0	0	0	0	1	0
게임 시작을 지금 하나도 못 했어	0	0	0	0	0	0	0	0	0	1
제발 그냥 찔려	0	0	0	0	0	0	0	0	1	0
나 요기다 이렇게 미친 새키 왔네	0	0	0	0	0	0	0	0	1	0
아니 그냥 가면 돼 그냥 가면 돼	0	0	0	0	0	0	0	0	0	1
저 아 이건 억까 인정 왜 다 와	0	0	0	0	0	0	0	0	1	0
자 여기서 밟으면 진짜 미친 거지	0	0	0	0	0	0	0	0	1	0
그럼 여덟 명이 안되면 못하잖아요	0	0	0	0	0	0	0	0	0	1
너 이 새끼 조는 거 아니야	0	0	0	0	0	0	0	0	1	0
몰래 나와 몰래 나와	0	0	0	0	0	0	0	0	0	1
아니 이거 그냥 압축하면 안 돼	0	0	0	0	0	0	0	0	0	1
미안 아저씨는 수영을 못해	0	0	0	0	0	0	0	0	0	1
여기서 발 잘못 디디면은 조진다	0	0	0	0	0	0	0	0	1	0
빨리빨리 가줘야지 갈 거 아니야	0	0	0	0	0	0	0	0	0	1
아 나 진짜 이거 못 버티겠는데	0	0	0	0	0	0	0	0	1	0
니 진짜 개못한다	0	0	0	0	0	0	0	0	1	0
아 나 이거 진짜 못 버티겠는데	0	0	0	0	0	0	0	0	1	0
아 잠깐만 끝났는데	0	0	0	0	0	0	0	0	0	1
미친 개새	0	0	0	0	0	0	0	0	1	0
아무도 못 먹어	0	0	0	0	0	0	0	0	0	1
나 이거 진짜 나 오늘 잠 못자	0	0	0	0	0	0	0	0	0	1
아니 또 지랄	0	0	0	0	0	0	0	0	1	0
진짜 아니 아이고 치매 이슈예요	0	0	0	0	0	0	0	0	1	0
제발 넘어 가 이 강아지 새끼야	0	0	0	0	0	0	0	0	1	0
오 쓰레기 같은 놈들 다 아니죠	0	0	0	0	0	0	0	0	1	0
나는 이거 못하면 말이 안 된다	0	0	0	0	0	0	0	0	0	1
머리에 있지마 점프 못 뛰잖아	0	0	0	0	0	0	0	0	0	1
미친놈들 지나다니는데	0	0	0	0	0	0	0	0	1	0
아니 이거 어떻게 하는 거에요	0	0	0	0	0	0	0	0	0	1
왜 게이지 관리를 못하는거야	0	0	0	0	0	0	0	0	0	1
아니 딴 걸 빨리빨리 해줘야지	0	0	0	0	0	0	0	0	0	1
누나 진짜 아가리해요	0	0	0	0	0	0	0	0	1	0
아니 이것도 못 넘으면 어떡해 너 트롤이야	0	0	0	0	0	0	0	0	1	0
저도 미친 아기가 될래요	0	0	0	0	0	0	0	0	1	0
아니 이거 왜 뒤로 가는 거야	0	0	0	0	0	0	0	0	0	1
아 이거를 누나가 망친듯	0	0	0	0	0	0	0	0	1	0
아니 이렇게 들어가면 되는구나	0	0	0	0	0	0	0	0	0	1
관심 받으려고 한 건 아니잖아	0	0	0	0	0	0	0	0	0	1
아직 1단계도 못 간 상황입니다	0	0	0	0	0	0	0	0	0	1
형 내 발목잡지마	0	0	0	0	0	0	0	0	1	0
니만 없었으면 진작 성공했다	0	0	0	0	0	0	0	0	1	0
좀 멈추라니까 진짜 못한다	0	0	0	0	0	0	0	0	1	0
누나랑 하면 뭘 하든 안돼	0	0	0	0	0	0	0	0	1	0
아니 야 저거 무조건 해야 돼	0	0	0	0	0	0	0	0	0	1
아니 얘 죽었어 같이 가야 돼	0	0	0	0	0	0	0	0	0	1
게임 망하기 싫으면 끌어올려요	0	0	0	0	0	0	0	0	0	1
그냥 개존망인듯	0	0	0	0	0	0	0	0	1	0
혼자하는게 훨씬 나을듯	0	0	0	0	0	0	0	0	1	0
너무 못하니까 못놀리겠다	0	0	0	0	0	0	0	0	1	0
아니 밑으로 해서 가면 되잖아	0	0	0	0	0	0	0	0	0	1
아니 그 블럭은 안 뿌셔도 돼	0	0	0	0	0	0	0	0	0	1
정신이 나갔네 이사람	0	0	0	0	0	0	0	0	1	0
너 떄문에 이길 수 없어	0	0	0	0	0	0	0	0	1	0
아니야 이거 밟아줘야돼	0	0	0	0	0	0	0	0	0	1
아니 의문 갖지 말고 일단 깨	0	0	0	0	0	0	0	0	0	1
아 진짜 아니라고	0	0	0	0	0	0	0	0	1	0
한 번에 맞췄으면 좋겠다 제발	0	0	0	0	0	0	0	0	0	1
아 이건 니가 잘못한 거 맞음	0	0	0	0	0	0	0	0	1	0
아니 대기라는 말 혹시 모르나	0	0	0	0	0	0	0	0	0	1
아니 니가 이상하게 말했다니까	0	0	0	0	0	0	0	0	1	0
그냥 욕 개나오네	0	0	0	0	0	0	0	0	1	0
아니 비켜 너 때문에 죽잖아	0	0	0	0	0	0	0	0	1	0
아니면 그러니까 뭔 개소리야	0	0	0	0	0	0	0	0	1	0
아니 근데 총알은 피해야 돼	0	0	0	0	0	0	0	0	0	1
아 이 시발 아니 야 들어가	0	0	0	0	0	0	0	0	1	0
나 솔직히 틀딱이랑 못하겠다	0	0	0	0	0	0	0	0	1	0
빨리 그래서 여긴 지나가야돼	0	0	0	0	0	0	0	0	0	1
손가락에 개살찐듯	0	0	0	0	0	0	0	0	1	0
눈깔 똑바로떠라	0	0	0	0	0	0	0	0	1	0
근데 이거는 실력이 아니에요	0	0	0	0	0	0	0	0	0	1
근데 나가야 되는 거 아니에요	0	0	0	0	0	0	0	0	0	1
저 위로 올라가는 거 아니야	0	0	0	0	0	0	0	0	0	1
아니 니 말고는 못 옮긴다고	0	0	0	0	0	0	0	0	0	1
아니 씨발 움직이지 말라니까	0	0	0	0	0	0	0	0	1	0
아 열받게 하면 안 되는구나	0	0	0	0	0	0	0	0	0	1
이제 이거 영원히 통과 못함	0	0	0	0	0	0	0	0	0	1
아니 이거 어떻게 하는 거야	0	0	0	0	0	0	0	0	0	1
아 쟤들은 왜 못 뛰는 거야	0	0	0	0	0	0	0	0	0	1
민망하니까 박수치는 거 봐라	0	0	0	0	0	0	0	0	0	1
누가 이걸 못 해 미친놈아	0	0	0	0	0	0	0	0	1	0
아니 너는 뭐 하다 죽었어	0	0	0	0	0	0	0	0	0	1
아니 그거 빨리 말하라니까	0	0	0	0	0	0	0	0	0	1
날 잡아주고 저기 떨어졌어	0	0	0	0	0	0	0	0	0	1
아 진짜 이거 하나만 제발	0	0	0	0	0	0	0	0	0	1
누나 빨리 좀 지나가라 제발	0	0	0	0	0	0	0	0	0	1
개섭섭하네 진짜	0	0	0	0	0	0	0	0	1	0
니네랑 하면 영원히 못할듯	0	0	0	0	0	0	0	0	1	0
판정이 씹에반데	0	0	0	0	0	0	0	0	1	0
그냥 절벽에서 떨어져라	0	0	0	0	0	0	0	0	1	0
왜 정신을 도대체 안차릴까	0	0	0	0	0	0	0	0	1	0
씹테토네그냥	0	0	0	0	0	0	0	0	1	0
근데 너네 정말 너무하다	0	0	0	0	0	0	0	0	1	0
아니 지금 죽었다	0	0	0	0	0	0	0	0	0	1
아그냥 죽고싶다	0	0	0	0	0	0	0	0	1	0
이 새끼는 올라오지도 못해	0	0	0	0	0	0	0	0	1	0
다른 사람 밟은 거 아니야	0	0	0	0	0	0	0	0	0	1
아니 어떻게 저렇게 못하냐	0	0	0	0	0	0	0	0	1	0
아니 어차피 가기 애매했어	0	0	0	0	0	0	0	0	0	1
