sentence	source	label
왼쪽 두 명 흰색 주황색부터 할게 주황색 내려가	audio_1	
왼쪽 위 왼쪽 아래 오른쪽 위 오른쪽 아 바로 시작이네	audio_1	
왼쪽으로 쭉 밀어 계속 밀어	audio_1	
요시	audio_1	
요시 다 올라가면 안돼요	audio_1	
요시 열쇠 열쇠 열쇠 자 여기 내려가면 되지	audio_1	
요시죠	audio_1	
요오쓰 피크닷	audio_1	
용차 용차 아니 꾹 누르고 있어야돼 꾹 이거 누가 지금 깔닥깔닥거리는데 이거 누구야	audio_1	
우리 그러니까 맨 위에 올라간 사람은 점프를 한 다음에 그거 맞춰야 돼요	audio_1	
우리 따라가면 되고 자	audio_1	
우리 마이크 다 끄고 하는 게 어때요	audio_1	
우리 쎈미니 한번 맞춰줍시다	audio_1	
우리부터 봐요	audio_1	
움직여	audio_1	
위에 키	audio_1	
위에서부터 밀자 한 명부터 밀자	audio_1	
응 내꺼야	audio_1	
응 천천히 올라가 한 명씩 그렇지	audio_1	
이거	audio_1	
이거 13초라는 거 같은데 내가 봤을 때 이건 타임어택인 거 같아	audio_1	
이거 1초	audio_1	
이거 고개 왜 이거 고개 사야 올라가시고 얘들아 아 오케이 이렇게 하는 거였어	audio_1	
이거 다시 해야 돼	audio_1	
이거 뭐야	audio_1	
이거 밀어	audio_1	
이거 아 이거 다 먹는 거네	audio_1	
이거 안 맞아	audio_1	
이거 어떻게 올라가지	audio_1	
이거 어몽어스 그것 때문에 안 맞아	audio_1	
이거 오른쪽에 넘어가신 4분이 왼쪽으로 밀어주세요	audio_1	
이거 올라가는 것도 발판 해줘야돼 올라가서 발판 해줘	audio_1	
이거 왜왜왜 일로 가자고	audio_1	
이거 왼쪽 하아 여기 있었네	audio_1	
이거 자 이거 똑같네	audio_1	
이거 점프했어야 돼	audio_1	
이거 할 수 있었는데 와	audio_1	
이건 주인공병이 아니라 제가 한번 해볼게요	audio_1	
이것도 똑같이 계단 만들어서 하면 되네	audio_1	
이런걸 시행착오라고 합니다	audio_1	
이렇게 할게요	audio_1	
이렇게 해야겠네	audio_1	
이야 오늘 가슴이 따뜻해졌나요	audio_1	
이야아아아아아 이거다 이거다 좋았다	audio_1	
이제	audio_1	
이제 죽으면 안 돼	audio_1	
이지	audio_1	
이지하네요	audio_1	
이지해 이지하니까 2편 할게요	audio_1	
일단 가보자 일단 가보자 와봐 와봐 오른쪽으로 와봐	audio_1	
일단 먹어	audio_1	
일로 가야돼	audio_1	
자 갑니다	audio_1	
자 그다음에 영호 내려가 자 그다음에 김치 내려가 그다음에 김우자 내려가 그다음에 올라가요	audio_1	
자 그러면 한 칸에 두 명씩만 가면 되네요	audio_1	
자 내려갈 거예요	audio_1	
자 내려오세요	audio_1	
자 다같이 따라하시면 돼요	audio_1	
자 다시 해 볼게요	audio_1	
자 다음 아 이거 끌어주자 올려 다시 올려 올려 자 앞에 출발 앞에서 점프해서 넘어가자 그렇지 해주고 그 다음 점프 그 다음 점프 하세요	audio_1	
자 마지막 노란색 까지 올라가고 이제 빨간색만 움직이면 돼	audio_1	
자 비켜주세요	audio_1	
자 비켜주세요 비키세요	audio_1	
자 앞에 계시는 빨간색부터 머리 밟으면 누군지 말씀해주시면 됩니다 누구시죠	audio_1	
자 여기 4명만 밀으세요	audio_1	
자 여러분들 우리 전에 시기 폄하 이런거 외쳤죠	audio_1	
자 여러분들 저번 어머머즈 영상 재밌게 보셨나요	audio_1	
자 여러분들 지금 4방이잖아요	audio_1	
자 오늘은 우리 사랑스러운 주문을 해봅시다	audio_1	
자 오케이 다음 턴 가자	audio_1	
자 오케이 오케이	audio_1	
자 올라가 먹어	audio_1	
자 유쓰 이기쑤 오오오 오케이 잡아 점프해 점프해 점프했어요	audio_1	
자 이거를 한 명만 밟으면 되는 거잖아	audio_1	
자 이건 알죠	audio_1	
자 이러고 우리 다 가만히 있을거에요	audio_1	
자 이번에는 줄이 없네요	audio_1	
자 이제 마이크 키세요	audio_1	
자 이제 비켜줘 비켜줘 비켜줘 보라색 비켜 파란색 비켜	audio_1	
자 천천히 또 올라가죠	audio_1	
자 출발 그 다음 출발 그렇지 빨간색 출발 그렇지	audio_1	
잼민아	audio_1	
저 뜁니다	audio_1	
저거 먹어야돼 오케이 7초 7초 비켜 비켜야 돼 3초 2초 점프 비켜 비켜 오케이 먹어 먹어 아까보다 더 빨라 한숨 자고 와도 돼	audio_1	
저한테 아니 저기 이쪽으로 오시라고요	audio_1	
저희는 이렇게 합동하는 것보다 서로 치고 박고 싸워야죠	audio_1	
전기 안 통하게 조심	audio_1	
절대 먼저 가려고 하지 마	audio_1	
점프	audio_1	
점프 그렇지 밟아줘	audio_1	
점프 하세요	audio_1	
정말 너무 똑똑해 너무 쉽다	audio_1	
제가 문 열어드리죠	audio_1	
제발 아 이거 답답해 죽겠네	audio_1	
좋아	audio_1	
좋아요 좋아요	audio_1	
좋았다	audio_1	
좋았다 좋았다	audio_1	
주황색	audio_1	
준비하시고 쓰리 투 어	audio_1	
줄다리기	audio_1	
중앙색 내려가	audio_1	
지금 또 맨 위에 하고 싶어가지고 그냥 주인공병 걸러가지고 누구야	audio_1	
지렸다 지렸다 아 나이스 나이스 아니 레게는 진짜 말 두껍게 안 들어	audio_1	
지우였어요	audio_1	
직진	audio_1	
진짜 아닙니다	audio_1	
진짜로	audio_1	
찾아야 돼	audio_1	
출발	audio_1	
출발 출발 한 명만 밀어주고 자 이거는 이제 한 명씩 밟아야 돼	audio_1	
키 좀 크지	audio_1	
평화	audio_1	
피타고라스 정의를 이용해서 한번 만들어보자구요 올라갈 수 있게 그렇지 밟아주고 그렇지 다음 올라갈 수 있게 밟아줘	audio_1	
핑크색 올라가서 만들어주시고 그다음 내려가	audio_1	
하나 둘 여시 자 올려 으아 올려 으아 올려 올려 올려 그렇지	audio_1	
하나씩 가자고	audio_1	
하여튼이에요	audio_1	
하하하하하하 아니 뒤로 가졌다니까요	audio_1	
하하하하하하 아니 유현이 왜 뒤로 가세요	audio_1	
하하하하하하하하 이거 뭐야	audio_1	
한 명 올라가야겠다	audio_1	
한 명씩 내려가 한 명씩	audio_1	
한 명씩 밀자	audio_1	
한 번 더 네	audio_1	
한다	audio_1	
행복	audio_1	
호이야	audio_1	
혹시 좌네만 사용하지 마시고 우네 좀 써주실래요	audio_1	
힘 받는다	audio_1	
